types,counts,probs,total_unique
actually,784,0.0007671953529881476,56596
watched,779,0.0007623025254818456,56596
got,772,0.0007554525669730229,56596
characters,771,0.0007544740014717625,56596
though,767,0.000750559739466721,56596
her,763,0.0007466454774616793,56596
alien,761,0.0007446883464591586,56596
many,752,0.0007358812569478151,56596
plot,750,0.0007339241259452943,56596
say,746,0.0007300098639402527,56596
through,744,0.000728052732937732,56596
does,743,0.0007270741674364716,56596
big,740,0.0007241384709326903,56596
before,738,0.0007221813399301695,56596
always,728,0.0007123956849175657,56596
bit,726,0.0007104385539150449,56596
monster,724,0.0007084814229125241,56596
review,724,0.0007084814229125241,56596
go,713,0.0006977172023986597,56596
makes,704,0.0006889101128873162,56596
those,699,0.0006840172853810143,56596
new,697,0.0006820601543784935,56596
day,690,0.0006752101958696707,56596
kind,684,0.0006693388028621084,56596
feel,675,0.0006605317133507649,56596
around,674,0.0006595531478495045,56596
cool,673,0.000658574582348244,56596
interesting,673,0.000658574582348244,56596
doesn,669,0.0006546603203432025,56596
original,666,0.0006517246238394213,56596
things,665,0.0006507460583381609,56596
star,656,0.0006419389688268174,56596
life,655,0.000640960403325557,56596
look,653,0.0006390032723230363,56596
character,650,0.000636067575819255,56596
budget,650,0.000636067575819255,56596
part,648,0.0006341104448167342,56596
science,640,0.0006262819208066511,56596
future,638,0.0006243247898041303,56596
thought,633,0.0006194319622978284,56596
last,629,0.0006155177002927868,56596
she,629,0.0006155177002927868,56596
right,628,0.0006145391347915265,56596
cast,626,0.0006125820037890056,56596
another,620,0.0006067106107814432,56596
end,618,0.0006047534797789225,56596
take,614,0.0006008392177738809,56596
enough,612,0.0005988820867713601,56596
same,609,0.000595946390267579,56596
work,608,0.0005949678247663186,56596
quite,601,0.0005881178662574958,56596
isn,593,0.0005802893422474127,56596
such,588,0.0005753965147411107,56596
old,584,0.0005714822527360692,56596
long,582,0.0005695251217335484,56596
everything,578,0.0005656108597285068,56596
year,575,0.0005626751632247256,56596
que,575,0.0005626751632247256,56596
feels,572,0.0005597394667209444,56596
want,571,0.000558760901219684,56596
should,571,0.000558760901219684,56596
down,566,0.0005538680737133821,56596
sure,564,0.0005519109427108613,56596
real,542,0.0005303825016831327,56596
john,541,0.0005294039361818723,56596
director,541,0.0005294039361818723,56596
set,539,0.0005274468051793515,56596
minutes,536,0.0005245111086755704,56596
few,534,0.0005225539776730495,56596
scene,531,0.0005196182811692683,56596
