types,counts,probs,total_unique
years,272,0.0007568211286651567,31608
watching,268,0.0007456914061847868,31608
every,267,0.0007429089755646943,31608
those,264,0.0007345616837044169,31608
interesting,263,0.0007317792530843243,31608
d,261,0.0007262143918441394,31608
does,259,0.0007206495306039544,31608
propaganda,258,0.0007178670999838619,31608
did,258,0.0007178670999838619,31608
british,256,0.0007123022387436769,31608
bit,255,0.0007095198081235845,31608
bad,253,0.0007039549468833995,31608
quite,252,0.000701172516263307,31608
why,252,0.000701172516263307,31608
feel,252,0.000701172516263307,31608
us,250,0.000695607655023122,31608
back,250,0.000695607655023122,31608
always,248,0.000690042793782937,31608
wwii,248,0.000690042793782937,31608
your,246,0.0006844779325427521,31608
john,244,0.0006789130713025671,31608
la,244,0.0006789130713025671,31608
director,244,0.0006789130713025671,31608
going,240,0.0006677833488221971,31608
part,240,0.0006677833488221971,31608
character,239,0.0006650009182021046,31608
say,238,0.0006622184875820121,31608
set,238,0.0006622184875820121,31608
both,236,0.0006566536263418271,31608
didn,236,0.0006566536263418271,31608
she,235,0.0006538711957217347,31608
vietnam,234,0.0006510887651016422,31608
half,234,0.0006510887651016422,31608
may,234,0.0006510887651016422,31608
our,233,0.0006483063344815497,31608
go,232,0.0006455239038614572,31608
between,230,0.0006399590426212722,31608
right,229,0.0006371766120011797,31608
something,228,0.0006343941813810873,31608
such,226,0.0006288293201409023,31608
scene,226,0.0006288293201409023,31608
now,224,0.0006232644589007173,31608
es,221,0.0006149171670404398,31608
work,220,0.0006121347364203474,31608
history,220,0.0006121347364203474,31608
end,219,0.0006093523058002549,31608
review,217,0.0006037874445600699,31608
him,213,0.0005926577220797,31608
makes,212,0.0005898752914596074,31608
doesn,212,0.0005898752914596074,31608
times,208,0.0005787455689792375,31608
down,207,0.000575963138359145,31608
thing,205,0.00057039827711896,31608
another,201,0.0005592685546385901,31608
shot,200,0.0005564861240184976,31608
actually,199,0.0005537036933984051,31608
look,197,0.0005481388321582201,31608
feels,197,0.0005481388321582201,31608
around,196,0.0005453564015381276,31608
got,193,0.0005370091096778502,31608
2,193,0.0005370091096778502,31608
almost,192,0.0005342266790577577,31608
second,191,0.0005314442484376652,31608
plot,189,0.0005258793871974803,31608
enough,189,0.0005258793871974803,31608
e,187,0.0005203145259572952,31608
performances,185,0.0005147496647171102,31608
new,185,0.0005147496647171102,31608
fun,184,0.0005119672340970178,31608
thought,184,0.0005119672340970178,31608
horror,183,0.0005091848034769253,31608
day,182,0.0005064023728568328,31608
last,181,0.0005036199422367403,31608
kind,181,0.0005036199422367403,31608
acting,180,0.0005008375116166479,31608
epic,180,0.0005008375116166479,31608
hell,179,0.0004980550809965553,31608
cinema,179,0.0004980550809965553,31608
same,178,0.0004952726503764629,31608
few,176,0.0004897077891362778,31608
moments,176,0.0004897077891362778,31608
based,175,0.0004869253585161854,31608
old,175,0.0004869253585161854,31608
isn,174,0.00048414292789609293,31608
three,170,0.00047301320541572294,31608
y,167,0.0004646659135554455,31608
each,167,0.0004646659135554455,31608
take,166,0.000461883482935353,31608
michael,166,0.000461883482935353,31608
yet,165,0.00045910105231526053,31608
come,164,0.00045631862169516805,31608
should,163,0.00045353619107507556,31608
truth,162,0.0004507537604549831,31608
minutes,161,0.00044797132983489054,31608
nothing,161,0.00044797132983489054,31608
group,161,0.00044797132983489054,31608
en,160,0.00044518889921479806,31608
things,159,0.0004424064685947056,31608
historical,159,0.0004424064685947056,31608
o,158,0.0004396240379746131,31608
nazis,157,0.0004368416073545206,31608
